Name,Former City,New City,Year 1,Year 2
Chris Bosh,Toronto,Miami,2010,2011
Kyle Lowry,Toronto,Miami,2021,2022
Kyle Lowry,Miami,Philadelphia,2023,2024
Gail Goodrich,Los Angeles,New Orleans,1976,1977
Al Horford,Atlanta,Boston,2016,2017
Al Horford,Boston,Philadelphia,2019,2020
Al Horford,Oklahoma City,Boston,2021,2022
Larry Kenon,San Antonio,Chicago,1980,1981
Rudy LaRusso,Los Angeles,San Francisco,1967,1968
Donovan Mitchell,Salt Lake City,Cleveland,2022,2023
John Wall,Houston,Los Angeles,2022,2023
Otis Birdsong,East Rutherford,Boston,1988,1989
Joe Caldwell,Atlanta,Greensboro,1970,1971
Maurice Cheeks,Atlanta,East Rutherford,1992,1993
Bob Dandridge,Milwaukee,Washington DC,1977,1978
Johnny Green,Philadelphia,Cincinatti,1969,1970
Warren Jabali,New York City,Oakland,1968,1969
Paul Millsap,Salt Lake City,Atlanta,2013,2014
Paul Millsap,Atlanta,Denver,2017,2018
Paul Millsap,Denver,Brooklyn,2021,2022
Bob Netolicky,San Diego,Indianapolis,1967,1968
Billy Paultz,San Diego,New York City,1970,1971
Billy Paultz,San Antonio,Atlanta,1983,1984
Billy Paultz,Atlanta,Salt Lake City,1984,1985
Alvin Robertson,Denver,Toronto,1995,1996
Rajon Rondo,Boston,Sacramento,2015,2016
Rajon Rondo,Sacramento,Chicago,2016,2017
Rajon Rondo,New Orleans,Los Angeles,2018,2019
Rajon Rondo,Los Angeles,Atlanta,2020,2021
Rasheed Wallace,Detroit,Boston,2009,2010
Paul George,Indianapolis,Oklahoma City,2017,2018
Paul George,Oklahoma City,Los Angeles,2019,2020
Kyrie Irving,Cleveland,Boston,2017,2018
Kyrie Irving,Boston,Brooklyn,2019,2020
Kyrie Irving,Brooklyn,Dallas,2022,2023
Vince Carter,Toronto,East Rutherford,2004,2005
Vince Carter,Phoenix,Dallas,2011,2012
Vince Carter,Dallas,Memphis,2014,2015
Vince Carter,Memphis,Sacramento,2017,2018
Vince Carter,Sacramento,Atlanta,2018,2019
Tom Chambers,Seattle,Phoenix,1988,1989
Ben Wallace,Detroit,Chicago,2006,2007
Kareem Abdul-Jabbar,Milwaukee,Los Angeles,1975,1976
Rick Barry,Oakland,Houston,1978,1979
Wilt Chamberlain,Philadelphia,Los Angeles,1968,1969
Anthony Davis,New Orleans,Los Angeles,2019,2020
Kevin Durant,Oklahoma City,Oakland,2016,2017
Kevin Durant,San Francisco,Brooklyn,2020,2021
Kevin Durant,Brooklyn,Phoenix,2022,2023
LeBron James,Cleveland,Miami,2010,2011
LeBron James,Miami,Cleveland,2014,2015
LeBron James,Cleveland,Los Angeles,2018,2019
Kawhi Leonard,San Antonio,Toronto,2018,2019
Kawhi Leonard,Toronto,Los Angeles,2019,2020
Damian Lillard,Portland,Milwaukee,2023,2024
Karl Malone,Salt Lake City,Los Angeles,2003,2004
Chris Paul,New Orleans,Los Angeles,2011,2012
Chris Paul,Los Angeles,Houston,2017,2018
Chris Paul,Oklahoma City,Phoenix,2021,2022
Chris Paul,Phoenix,San Francisco,2023,2024
Dennis Rodman,San Antonio,Chicago,1995,1996
Bill Walton,Los Angeles,Boston,1985,1986
Joe Johnson,Phoenix,Atlanta,2005,2006
Joe Johnson,Miami,Salt Lake City,2016,2017
Tracy McGrady,Toronto,Orlando,2000,2001
Tracy McGrady,New York City,Detroit,2010,2011
Tracy McGrady,Detroit,Atlanta,2011,2012
LaMarcus Aldridge,Portland,San Antonio,2015,2016
Jimmy Butler,Minneapolis,Philadelphia,2018,2019
Jimmy Butler,Philadelphia,Miami,2019,2020
Blake Griffin,Detroit,Brooklyn,2021,2022
Blake Griffin,Brooklyn,Boston,2022,2023
Grant Hill,Detroit,Orlando,2000,2001
Grant Hill,Orlando,Phoenix,2007,2008
Grant Hill,Phoenix,Los Angeles,2012,2013
Sidney Moncrief,Milwaukee,Atlanta,1990,1991
Mitch Richmond,Washington DC,Los Angeles,2001,2002
Amar'e Stoudemire,Phoenix,New York City,2010,2011
Amar'e Stoudemire,Dallas,Miami,2015,2016
Chris Webber,Oakland,Washington DC,1994,1995
Chris Webber,Washington DC,Detroit,2007,2008
Mark Price,Washington DC,Oakland,1995,1996
Paul Westphal,Seattle,New York City,1982,1983
Gilbert Arenas,Oakland,Washington DC,2003,2004
Alex English,Milwaukee,Indianapolis,1978,1979
Alex English,Denver,Dallas,1990,1991
David Thompson,Norfolk,Denver,1975,1976
Tiny Archibald,Boston,Milwaukee,1983,1984
Dave Bing,Detroit,Washington DC,1975,1976
Dave Bing,Washington DC,Boston,1977,1978
George Gervin,Phoenix,San Antonio,1974,1975
James Harden,Oklahoma City,Houston,2012,2013
James Harden,Houston,Brooklyn,2020,2021
James Harden,Brooklyn,Philadelphia,2021,2022
James Harden,Philadelphia,Los Angeles,2023,2024
Shaquille O'Neal,Orlando,Los Angeles,1996,1997
Shaquille O'Neal,Los Angeles,Miami,2004,2005
Shaquille O'Neal,Cleveland,Boston,2010,2011
Robert Parish,Boston,Charlotte,1994,1995
Robert Parish,Charlotte,Chicago,1996,1997
Mack Calvin,Salt Lake City,Cleveland,1980,1981
