Name,Former City,New City,Year 1,Year 2,prev_city_latitude,prev_city_longitude,new_city_latitude,new_city_longitude
Chris Bosh,Toronto,Miami,2010,2011,43.6534817,-79.3839347,25.7741728,-80.19362
Kyle Lowry,Toronto,Miami,2021,2022,43.6534817,-79.3839347,25.7741728,-80.19362
Kyle Lowry,Miami,Philadelphia,2023,2024,25.7741728,-80.19362,39.9527237,-75.1635262
Gail Goodrich,Los Angeles,New Orleans,1976,1977,34.0536909,-118.242766,29.9759983,-90.0782127
Al Horford,Atlanta,Boston,2016,2017,33.7489924,-84.3902644,42.3554334,-71.060511
Al Horford,Boston,Philadelphia,2019,2020,42.3554334,-71.060511,39.9527237,-75.1635262
Al Horford,Oklahoma City,Boston,2021,2022,35.4729886,-97.5170536,42.3554334,-71.060511
Larry Kenon,San Antonio,Chicago,1980,1981,29.4246002,-98.4951405,41.8755616,-87.6244212
Rudy LaRusso,Los Angeles,San Francisco,1967,1968,34.0536909,-118.242766,37.7792588,-122.4193286
Donovan Mitchell,Salt Lake City,Cleveland,2022,2023,40.7596198,-111.886797,41.4996574,-81.6936772
John Wall,Houston,Los Angeles,2022,2023,29.7589382,-95.3676974,34.0536909,-118.242766
Otis Birdsong,East Rutherford,Boston,1988,1989,40.833989,-74.0970865,42.3554334,-71.060511
Joe Caldwell,Atlanta,Greensboro,1970,1971,33.7489924,-84.3902644,36.0726355,-79.7919754
Maurice Cheeks,Atlanta,East Rutherford,1992,1993,33.7489924,-84.3902644,40.833989,-74.0970865
Bob Dandridge,Milwaukee,Washington DC,1977,1978,43.0386475,-87.9090751,38.8950368,-77.0365427
Johnny Green,Philadelphia,Cincinatti,1969,1970,39.9527237,-75.1635262,39.182238,-84.75399213059424
Warren Jabali,New York City,Oakland,1968,1969,40.7127281,-74.0060152,37.8044557,-122.271356
Paul Millsap,Salt Lake City,Atlanta,2013,2014,40.7596198,-111.886797,33.7489924,-84.3902644
Paul Millsap,Atlanta,Denver,2017,2018,33.7489924,-84.3902644,39.7392364,-104.984862
Paul Millsap,Denver,Brooklyn,2021,2022,39.7392364,-104.984862,40.6526006,-73.9497211
Bob Netolicky,San Diego,Indianapolis,1967,1968,32.7174202,-117.162772,39.7683331,-86.1583502
Billy Paultz,San Diego,New York City,1970,1971,32.7174202,-117.162772,40.7127281,-74.0060152
Billy Paultz,San Antonio,Atlanta,1983,1984,29.4246002,-98.4951405,33.7489924,-84.3902644
Billy Paultz,Atlanta,Salt Lake City,1984,1985,33.7489924,-84.3902644,40.7596198,-111.886797
Alvin Robertson,Denver,Toronto,1995,1996,39.7392364,-104.984862,43.6534817,-79.3839347
Rajon Rondo,Boston,Sacramento,2015,2016,42.3554334,-71.060511,38.5810606,-121.493895
Rajon Rondo,Sacramento,Chicago,2016,2017,38.5810606,-121.493895,41.8755616,-87.6244212
Rajon Rondo,New Orleans,Los Angeles,2018,2019,29.9759983,-90.0782127,34.0536909,-118.242766
Rajon Rondo,Los Angeles,Atlanta,2020,2021,34.0536909,-118.242766,33.7489924,-84.3902644
Rasheed Wallace,Detroit,Boston,2009,2010,42.3315509,-83.0466403,42.3554334,-71.060511
Paul George,Indianapolis,Oklahoma City,2017,2018,39.7683331,-86.1583502,35.4729886,-97.5170536
Paul George,Oklahoma City,Los Angeles,2019,2020,35.4729886,-97.5170536,34.0536909,-118.242766
Kyrie Irving,Cleveland,Boston,2017,2018,41.4996574,-81.6936772,42.3554334,-71.060511
Kyrie Irving,Boston,Brooklyn,2019,2020,42.3554334,-71.060511,40.6526006,-73.9497211
Kyrie Irving,Brooklyn,Dallas,2022,2023,40.6526006,-73.9497211,32.7762719,-96.7968559
Vince Carter,Toronto,East Rutherford,2004,2005,43.6534817,-79.3839347,40.833989,-74.0970865
Vince Carter,Phoenix,Dallas,2011,2012,33.4484367,-112.074141,32.7762719,-96.7968559
Vince Carter,Dallas,Memphis,2014,2015,32.7762719,-96.7968559,35.1460249,-90.0517638
Vince Carter,Memphis,Sacramento,2017,2018,35.1460249,-90.0517638,38.5810606,-121.493895
Vince Carter,Sacramento,Atlanta,2018,2019,38.5810606,-121.493895,33.7489924,-84.3902644
Tom Chambers,Seattle,Phoenix,1988,1989,47.6038321,-122.330062,33.4484367,-112.074141
Ben Wallace,Detroit,Chicago,2006,2007,42.3315509,-83.0466403,41.8755616,-87.6244212
Kareem Abdul-Jabbar,Milwaukee,Los Angeles,1975,1976,43.0386475,-87.9090751,34.0536909,-118.242766
Rick Barry,Oakland,Houston,1978,1979,37.8044557,-122.271356,29.7589382,-95.3676974
Wilt Chamberlain,Philadelphia,Los Angeles,1968,1969,39.9527237,-75.1635262,34.0536909,-118.242766
Anthony Davis,New Orleans,Los Angeles,2019,2020,29.9759983,-90.0782127,34.0536909,-118.242766
Kevin Durant,Oklahoma City,Oakland,2016,2017,35.4729886,-97.5170536,37.8044557,-122.271356
Kevin Durant,San Francisco,Brooklyn,2020,2021,37.7792588,-122.4193286,40.6526006,-73.9497211
Kevin Durant,Brooklyn,Phoenix,2022,2023,40.6526006,-73.9497211,33.4484367,-112.074141
LeBron James,Cleveland,Miami,2010,2011,41.4996574,-81.6936772,25.7741728,-80.19362
LeBron James,Miami,Cleveland,2014,2015,25.7741728,-80.19362,41.4996574,-81.6936772
LeBron James,Cleveland,Los Angeles,2018,2019,41.4996574,-81.6936772,34.0536909,-118.242766
Kawhi Leonard,San Antonio,Toronto,2018,2019,29.4246002,-98.4951405,43.6534817,-79.3839347
Kawhi Leonard,Toronto,Los Angeles,2019,2020,43.6534817,-79.3839347,34.0536909,-118.242766
Damian Lillard,Portland,Milwaukee,2023,2024,45.5202471,-122.674194,43.0386475,-87.9090751
Karl Malone,Salt Lake City,Los Angeles,2003,2004,40.7596198,-111.886797,34.0536909,-118.242766
Chris Paul,New Orleans,Los Angeles,2011,2012,29.9759983,-90.0782127,34.0536909,-118.242766
Chris Paul,Los Angeles,Houston,2017,2018,34.0536909,-118.242766,29.7589382,-95.3676974
Chris Paul,Oklahoma City,Phoenix,2021,2022,35.4729886,-97.5170536,33.4484367,-112.074141
Chris Paul,Phoenix,San Francisco,2023,2024,33.4484367,-112.074141,37.7792588,-122.4193286
Dennis Rodman,San Antonio,Chicago,1995,1996,29.4246002,-98.4951405,41.8755616,-87.6244212
Bill Walton,Los Angeles,Boston,1985,1986,34.0536909,-118.242766,42.3554334,-71.060511
Joe Johnson,Phoenix,Atlanta,2005,2006,33.4484367,-112.074141,33.7489924,-84.3902644
Joe Johnson,Miami,Salt Lake City,2016,2017,25.7741728,-80.19362,40.7596198,-111.886797
Tracy McGrady,Toronto,Orlando,2000,2001,43.6534817,-79.3839347,28.5421109,-81.3790304
Tracy McGrady,New York City,Detroit,2010,2011,40.7127281,-74.0060152,42.3315509,-83.0466403
Tracy McGrady,Detroit,Atlanta,2011,2012,42.3315509,-83.0466403,33.7489924,-84.3902644
LaMarcus Aldridge,Portland,San Antonio,2015,2016,45.5202471,-122.674194,29.4246002,-98.4951405
Jimmy Butler,Minneapolis,Philadelphia,2018,2019,44.9772995,-93.2654692,39.9527237,-75.1635262
Jimmy Butler,Philadelphia,Miami,2019,2020,39.9527237,-75.1635262,25.7741728,-80.19362
Blake Griffin,Detroit,Brooklyn,2021,2022,42.3315509,-83.0466403,40.6526006,-73.9497211
Blake Griffin,Brooklyn,Boston,2022,2023,40.6526006,-73.9497211,42.3554334,-71.060511
Grant Hill,Detroit,Orlando,2000,2001,42.3315509,-83.0466403,28.5421109,-81.3790304
Grant Hill,Orlando,Phoenix,2007,2008,28.5421109,-81.3790304,33.4484367,-112.074141
Grant Hill,Phoenix,Los Angeles,2012,2013,33.4484367,-112.074141,34.0536909,-118.242766
Sidney Moncrief,Milwaukee,Atlanta,1990,1991,43.0386475,-87.9090751,33.7489924,-84.3902644
Mitch Richmond,Washington DC,Los Angeles,2001,2002,38.8950368,-77.0365427,34.0536909,-118.242766
Amar'e Stoudemire,Phoenix,New York City,2010,2011,33.4484367,-112.074141,40.7127281,-74.0060152
Amar'e Stoudemire,Dallas,Miami,2015,2016,32.7762719,-96.7968559,25.7741728,-80.19362
Chris Webber,Oakland,Washington DC,1994,1995,37.8044557,-122.271356,38.8950368,-77.0365427
Chris Webber,Washington DC,Detroit,2007,2008,38.8950368,-77.0365427,42.3315509,-83.0466403
Mark Price,Washington DC,Oakland,1995,1996,38.8950368,-77.0365427,37.8044557,-122.271356
Paul Westphal,Seattle,New York City,1982,1983,47.6038321,-122.330062,40.7127281,-74.0060152
Gilbert Arenas,Oakland,Washington DC,2003,2004,37.8044557,-122.271356,38.8950368,-77.0365427
Alex English,Milwaukee,Indianapolis,1978,1979,43.0386475,-87.9090751,39.7683331,-86.1583502
Alex English,Denver,Dallas,1990,1991,39.7392364,-104.984862,32.7762719,-96.7968559
David Thompson,Norfolk,Denver,1975,1976,36.8448348,-76.2863999,39.7392364,-104.984862
Tiny Archibald,Boston,Milwaukee,1983,1984,42.3554334,-71.060511,43.0386475,-87.9090751
Dave Bing,Detroit,Washington DC,1975,1976,42.3315509,-83.0466403,38.8950368,-77.0365427
Dave Bing,Washington DC,Boston,1977,1978,38.8950368,-77.0365427,42.3554334,-71.060511
George Gervin,Phoenix,San Antonio,1974,1975,33.4484367,-112.074141,29.4246002,-98.4951405
James Harden,Oklahoma City,Houston,2012,2013,35.4729886,-97.5170536,29.7589382,-95.3676974
James Harden,Houston,Brooklyn,2020,2021,29.7589382,-95.3676974,40.6526006,-73.9497211
James Harden,Brooklyn,Philadelphia,2021,2022,40.6526006,-73.9497211,39.9527237,-75.1635262
James Harden,Philadelphia,Los Angeles,2023,2024,39.9527237,-75.1635262,34.0536909,-118.242766
Shaquille O'Neal,Orlando,Los Angeles,1996,1997,28.5421109,-81.3790304,34.0536909,-118.242766
Shaquille O'Neal,Los Angeles,Miami,2004,2005,34.0536909,-118.242766,25.7741728,-80.19362
Shaquille O'Neal,Cleveland,Boston,2010,2011,41.4996574,-81.6936772,42.3554334,-71.060511
Robert Parish,Boston,Charlotte,1994,1995,42.3554334,-71.060511,35.2272086,-80.8430827
Robert Parish,Charlotte,Chicago,1996,1997,35.2272086,-80.8430827,41.8755616,-87.6244212
Mack Calvin,Salt Lake City,Cleveland,1980,1981,40.7596198,-111.886797,41.4996574,-81.6936772
Louie Dampier,Cincinatti,Louisville,1967,1968,39.182238,-84.75399213059424,38.2542376,-85.759407
Donnie Freeman,Philadelphia,Minneapolis,1967,1968,39.9527237,-75.1635262,44.9772995,-93.2654692
Donnie Freeman,San Antonio,Los Angeles,1975,1976,29.4246002,-98.4951405,34.0536909,-118.242766
Pau Gasol,Los Angeles,Chicago,2014,2015,34.0536909,-118.242766,41.8755616,-87.6244212
Pau Gasol,Chicago,San Antonio,2016,2017,41.8755616,-87.6244212,29.4246002,-98.4951405
Pau Gasol,San Antonio,Milwaukee,2019,2020,29.4246002,-98.4951405,43.0386475,-87.9090751
Pau Gasol,Milwaukee,Portland,2019,2020,43.0386475,-87.9090751,45.5202471,-122.674194
Gus Johnson,Phoenix,Indianapolis,1972,1973,33.4484367,-112.074141,39.7683331,-86.1583502
Bernard King,New York City,Washington DC,1987,1988,40.7127281,-74.0060152,38.8950368,-77.0365427
Jim Pollard,Chicago,Minneapolis,1948,1949,41.8755616,-87.6244212,44.9772995,-93.2654692
Roger Brown,Indianapolis,Memphis,1974,1975,39.7683331,-86.1583502,35.1460249,-90.0517638
DeMar DeRozan,San Antonio,Chicago,2021,2022,29.4246002,-98.4951405,41.8755616,-87.6244212
Marques Johnson,Los Angeles,Oakland,1989,1990,34.0536909,-118.242766,37.8044557,-122.271356
Jimmy Jones,Baltimore,New Orleans,1967,1968,39.2908816,-76.610759,29.9759983,-90.0782127
Jimmy Jones,New Orleans,Salt Lake City,1971,1972,29.9759983,-90.0782127,40.7596198,-111.886797
Jimmy Jones,Salt Lake City,Washington DC,1974,1975,40.7596198,-111.886797,38.8950368,-77.0365427
Larry Jones,Philadelphia,Denver,1967,1968,39.9527237,-75.1635262,39.7392364,-104.984862
DeAndre Jordan,Los Angeles,Dallas,2018,2019,34.0536909,-118.242766,32.7762719,-96.7968559
DeAndre Jordan,New York City,Brooklyn,2019,2020,40.7127281,-74.0060152,40.6526006,-73.9497211
DeAndre Jordan,Detroit,Los Angeles,2021,2022,42.3315509,-83.0466403,34.0536909,-118.242766
DeAndre Jordan,Los Angeles,Philadelphia,2022,2023,34.0536909,-118.242766,39.9527237,-75.1635262
DeAndre Jordan,Philadelphia,Denver,2022,2023,39.9527237,-75.1635262,39.7392364,-104.984862
Shawn Kemp,Portland,Orlando,2002,2003,45.5202471,-122.674194,28.5421109,-81.3790304
Jermaine O'Neal,Miami,Boston,2010,2011,25.7741728,-80.19362,42.3554334,-71.060511
Jermaine O'Neal,Phoenix,Oakland,2013,2014,33.4484367,-112.074141,37.8044557,-122.271356
John Beasley,Baltimore,Dallas,1967,1968,39.2908816,-76.610759,32.7762719,-96.7968559
Zelmo Beaty,Los Angeles,Oakland,1974,1975,34.0536909,-118.242766,37.8044557,-122.271356
Carl Braun,New York City,Boston,1961,1962,40.7127281,-74.0060152,42.3554334,-71.060511
Derrick Coleman,Philadelphia,Charlotte,1999,2000,39.9527237,-75.1635262,35.2272086,-80.8430827
